SNname,type,ExplosionDate,R,Reference,Method,
,don't worry about type Ia,,,,,
,II -- Jack - top   Adrian -- bottom,"MJD if given, otherwise date",,link to ads reference,,
,Ib -- Thomas,,,,,
,Ic -- Macie,,,,,
,,,,,,
SN2009jh,SLSN-I,,,,,
SN2009jf,Ib,55099,Valenti_etal_2011,https://ui.adsabs.harvard.edu/abs/2011MNRAS.416.3138V/abstract,tight non-detections,
SN2009jb,Ia,,,,,
SN2009iz,Ib,,,,,
SN2009ip,imp-IIn,,,,,
SN2009ig,Ia,,,,,
SN2009hd,II,,,,,
SN2009gj,IIb,,,,,
SN2009gf,Ia,,,,,
SN2009dd,II,,,,,
SN2009dc,Ia-SC,,,,,
SN2009cz,Ia,,,,,
SN2009bw,II,,,,,
SN2009bb,Ic,JD 2454909.6,Pignata_etal_2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...728...14P/abstract,,
SN2009ay,II,x,,,,
SN2009au,IIn,x,,,,
SN2009at,II,x,,,,
SN2009an,Ia,,,,,
SN2009aj,II,x,,,,
SN2009Y,Ia,,,,,
SN2009N,IIP,x,,,,
SNF20080720001,Ia,,,,,
SNF20080514002,Ia,,,,,
CSS081009,SLSN-II,,,,,
SN2008iy,SLSN-II,,,,,
SN2008in,IIP,2454825.6,Roy_etal_2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...736...76R/abstract,early light fitting,
SN2008ij,II,x,,,,
SN2008hv,Ia,,,,,
SN2008hs,Ia,,,,,
SN2008ha,Ia,,,,,
SN2008ge,Ia,,,,,
SN2008fz,Ic,x,,,,
SN2008ex,IIn,x,,,,
SN2008es,SLSN-II,54590,,,ten days before first observation,
SN2008ec,Ia,,,,,
SN2008eb,Ic,x,,,,
SN2008dx,Ia-91bg,,,,,
SN2008dq,Ic,x,,,,
SN2008cg,Ia-CSM?,,,,,
SN2008bo,IIb update type,x,,,,
SN2008ax,IIb,"JD = 2,454,528.80 ± 0.15",Folatelli_etal_2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...811..147F/abstract,,
SN2008aw,II,54526.5,,,discover - 1.5 days,
SN2008aq,IIb,x,,,,
SN2008am,IIn,x,,,,
SN2008ae,Ia-02cx,,,,,
SN2008S,IIn-Imp?,,,,,
SN2008Q,Ia,,,,,
SN2008M,II,x,,,,
SN2008D,Ib,,,,,
SN2008A,Ia-02cx,,,,,
Stritzinger_etal_2009 https://ui.adsabs.harvard.edu/abs/2009ApJ...696..713S/abstractB peak - 20,Ib,54461.67,Roy_etal_2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.2032R/abstract,spectroscopic and radio dating,
SN2007sr,Ia,,,,,
SN2007pk,IIn,x,,,,
SN2007on,Ia,,,,,
SN2007od,II,245 4403 pm 1.5,Inserra_etal_2012,https://ui.adsabs.harvard.edu/abs/2012MNRAS.422.1178I/abstract,spectral fitting,
SN2007gi,Ia,,,,,
